run_id,dataset,method,noise,seed,found_eq,r2,time_s,status
bacon3_S-2_N0.1_S45,S-2,bacon3,0.1,45,y = 0.04539 * (y**2) + 3.992,0.9181,0.01,Success
bacon3_S-2_N0.1_S46,S-2,bacon3,0.1,46,Failed to find a simple closing relation.,0.0000,0.01,Failed
bacon3_S-2_N0.1_S47,S-2,bacon3,0.1,47,y = 0.04059 * (y**2) + 4.565,0.9052,0.01,Success
bacon3_S-2_N0.1_S48,S-2,bacon3,0.1,48,y = 0.04351 * (y**2) + 4.254,0.9203,0.01,Success
bacon3_S-2_N0.1_S49,S-2,bacon3,0.1,49,y = 0.04518 * (y**2) + 3.935,0.9105,0.01,Success
bacon3_S-2_N0.1_S50,S-2,bacon3,0.1,50,y = 0.04595 * (y**2) + 4,0.9130,0.01,Success
bacon3_S-2_N0.1_S51,S-2,bacon3,0.1,51,Failed to find a simple closing relation.,0.0000,0.01,Failed
bacon7_S-2_N0.1_S42,S-2,bacon7,0.1,42,No law found,0.0000,0.00,Failed
bacon7_S-2_N0.1_S43,S-2,bacon7,0.1,43,No law found,0.0000,0.00,Failed
bacon7_S-2_N0.1_S44,S-2,bacon7,0.1,44,No law found,0.0000,0.00,Failed
bacon7_S-2_N0.1_S45,S-2,bacon7,0.1,45,No law found,0.0000,0.00,Failed
bacon7_S-2_N0.1_S46,S-2,bacon7,0.1,46,No law found,0.0000,0.00,Failed
bacon7_S-2_N0.1_S47,S-2,bacon7,0.1,47,No law found,0.0000,0.00,Failed
bacon7_S-2_N0.1_S48,S-2,bacon7,0.1,48,No law found,0.0000,0.00,Failed
bacon7_S-2_N0.1_S49,S-2,bacon7,0.1,49,No law found,0.0000,0.00,Failed
bacon7_S-2_N0.1_S50,S-2,bacon7,0.1,50,No law found,0.0000,0.00,Failed
bacon7_S-2_N0.1_S51,S-2,bacon7,0.1,51,No law found,0.0000,0.00,Failed
bacon3_S-3_N0.0_S42,S-3,bacon3,0.0,42,Failed to find a simple closing relation.,0.0000,0.04,Failed
bacon3_S-3_N0.0_S43,S-3,bacon3,0.0,43,Failed to find a simple closing relation.,0.0000,0.05,Failed
bacon3_S-3_N0.0_S44,S-3,bacon3,0.0,44,Failed to find a simple closing relation.,0.0000,0.04,Failed
bacon3_S-3_N0.0_S45,S-3,bacon3,0.0,45,Failed to find a simple closing relation.,0.0000,0.05,Failed
bacon3_S-3_N0.0_S46,S-3,bacon3,0.0,46,Failed to find a simple closing relation.,0.0000,0.04,Failed
bacon3_S-3_N0.0_S47,S-3,bacon3,0.0,47,Failed to find a simple closing relation.,0.0000,0.04,Failed
